ItemName_Base.BaggyTee= "宽松T恤",
ItemName_Base.CrewneckSweatshirt= "运动衫",
ItemName_Base.Jacket_CanvasDOWN= "帆布夹克",
ItemName_Base.Jacket_Canvas= "帆布夹克",
ItemName_Base.Jacket_Sherpa= "牛仔夹克 (羊毛)",
ItemName_Base.CarpenterPants= "木匠工装裤",
ItemName_Base.CarpenterJeans= "木匠牛仔裤",
ItemName_Base.AmmoStrap_Bullets = "子弹背带",
ItemName_Base.AmmoStrap_Bullets_223 = "子弹带",
ItemName_Base.AmmoStrap_Bullets_308 = "子弹带",
ItemName_Base.AmmoStrap_Shells = "霰弹背带",
ItemName_Base.Bag_ALICE_BeltSus_Green = "爱丽丝背带 - 绿色",
ItemName_Base.Bag_BigHikingBag = "大登山包",
ItemName_Base.Bag_BigHikingBag_Travel = "登山包(大)",
ItemName_Base.Bag_HikingBag_Travel = "登山包(小)",
ItemName_Base.Bag_NormalHikingBag = "登山包",
ItemName_Base.Bag_SurvivorBag = "大型背包",
ItemName_Base.Boxers_RedStripes = "四角裤 (红色条纹)",
ItemName_Base.Boxers_Silk_Red = "四角裤 (红色丝绸)",
ItemName_Base.Bra_Strapless_FrillyPink = "无肩文胸 (粉红褶边)",
ItemName_Base.Bra_Strapless_RedSpots = "无肩文胸 (红点)",
ItemName_Base.Bra_Straps_FrillyPink = "标准文胸 (粉红褶边)",
ItemName_Base.Dungarees = "工装裤",
ItemName_Base.DungareesDOWN = "工装裤",
ItemName_Base.FrillyUnderpants_Pink = "内裤",
ItemName_Base.Gloves_Dish = "橡胶手套",
ItemName_Base.Hat_Bandana = "头巾 (条纹)",
ItemName_Base.Hat_BandanaMask = "方巾 (条纹)",
ItemName_Base.Hat_BandanaTied = "头带 (条纹)",
ItemName_Base.Hat_BaseballCap = "棒球帽",
ItemName_Base.Hat_BaseballCapKY = "KY 棒球帽",
ItemName_Base.Hat_BaseballCapKY_Reverse = "KY 棒球帽",
ItemName_Base.Hat_BaseballCapTINT = "棒球帽",
