IGUI_BenchPress= "卧推",
IGUI_BenchPress_Tooltip= "在卧推架上训练",
IGUI_Treadmill= "跑步机",
IGUI_Treadmill_Tooltip= "在跑步机上跑步",
IGUI_need_barbell= "我需要杠铃来进行这项锻炼",
IGUI_low_endurance= "我太疲惫了",
IGUI_pain= "我太疼了",
IGUI_heavy= "现在太重了无法使用",
Sandbox_FWOFitness = "FWO 健身与锻炼大修",
Sandbox_FWOFitness_InitialPerkBonus = "初始技能加成",
Sandbox_FWOFitness_InitialPerkBonus_tooltip = "考虑初始技能加成（75% 100% 125%）",
Sandbox_FWOFitness_currentExerciseRegularityBonus = "当前锻炼规律加成",
Sandbox_FWOFitness_currentExerciseRegularityBonus_tooltip = "根据锻炼规律获得加成",
Sandbox_FWOFitness_currentExerciseOffset = "当前锻炼偏移",
Sandbox_FWOFitness_currentExerciseOffset_tooltip = "线性计算的零点",
Sandbox_FWOFitness_currentExerciseRate = "当前锻炼速率",
Sandbox_FWOFitness_currentExerciseRate_tooltip = "线性角度的陡峭程度（数值越高,乘数越大）（偏移越大,负值越高）",
Sandbox_FWOFitness_AverageExerciseRegularityBonus = "平均锻炼规律加成",
Sandbox_FWOFitness_AverageExerciseRegularityBonus_tooltip = "根据所有锻炼的平均规律获得加成",
Sandbox_FWOFitness_LevelBonus = "等级加成",
Sandbox_FWOFitness_LevelBonus_tooltip = "每级技能获得的乘数",
Sandbox_FWOFitness_SpaceOutExercise = "间隔锻炼",
Sandbox_FWOFitness_SpaceOutExercise_tooltip = "当你间隔锻炼（约8小时或当肌肉酸痛开始时）时获得经验增益,独立于健身和力量",
Sandbox_FWOFitness_SpaceOutExerciseNegative = "间隔锻炼负乘数",
Sandbox_FWOFitness_RestedBonus = "休息加成",
Sandbox_FWOFitness_RestedBonus_tooltip = "当你肌肉酸痛时获得经验减益,当‘休息’时（无肌肉酸痛）获得增益",
Sandbox_FWOFitness_RestedBonusNegative = "休息加成负乘数",
Sandbox_FWOFitness_XPMultiplier = "可选经验乘数",
Sandbox_FWOFitness_XPMultiplier_tooltip = "全局经验乘数（使你更快或更慢地获得经验,推荐小幅度调整）",
Sandbox_FWOFitness_PassiveMultiplier = "被动经验乘数（非锻炼时）",
Sandbox_FWOFitness_PassiveMultiplier_tooltip = "决定你在非锻炼时的乘数.例如：战斗、冲刺等（0 = 关闭,无被动经验乘数）",
Sandbox_FWOFitness_BoredomMultiplier = "无聊乘数",
Sandbox_FWOFitness_BoredomMultiplier_tooltip = "调整获得的无聊减少（0 = 关闭）",
Sandbox_FWOFitness_UnhappynessMultiplier = "不快乐乘数",
Sandbox_FWOFitness_UnhappynessMultiplier_tooltip = "调整获得的不快乐减少（0 = 关闭）",
Sandbox_FWOFitness_KeepBagsOn = "保持背包装备",
Sandbox_FWOFitness_DropBags = "将背包放在地上",
Sandbox_FWOWorkingTreadmill = "FWO 跑步机与卧推",
Sandbox_FWOWorkingTreadmill_StrengthXPMultiply = "跑步机力量经验乘数",
Sandbox_FWOWorkingTreadmill_SprintingXPMultiply = "跑步机冲刺经验乘数",
Sandbox_FWOWorkingTreadmill_TreadmillDropBags = "脱下装备时将背包放在跑步机旁的地上",
Sandbox_FWOWorkingTreadmill_BenchpressDropBags = "脱下装备时将背包放在卧推旁的地上",
Sandbox_FWOWorkingTreadmill_BenchTreadKeepBagsOn = "保持背包装备",
